Monat,Besuche,BesEindeutig,Dauer,Seitenansichten,SeitenEind,Top-Datensatz,Top2,Top3,Top4,Top5
21.07.2021,1297,6347,,1010,3833,entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 298,standorte-der-give-boxen-und-öffentlichen-bücherregale 166,coronavirus-infektionen-sars-cov-2-im-regierungsbezirk-münster 82,standorte-der-glascontainer 78,stillplätze-wickelräume 70
21.06.2021,1681,8142,,1264,5146,entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 362,standorte-der-kinos 198,standorte-der-give-boxen-und-öffentlichen-bücherregale 182,geometriedaten-der-kleinräumigen-gebietsgliederung 134,schulen 128
21.05.2021,1482,5254,,1173,3321,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm (579),standorte-der-give-boxen-und-öffentlichen-bücherregale (169),umweltsensordaten-im-stadtgebiet (74),öpnv-busradar-bus-live-positionsdaten 67,digitales-baumkataster-münster 65
21.04.2021,1429,4496,,1182,,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm (579),standorte-der-give-boxen-und-öffentlichen-bücherregale (165),standorte-der-glascontainer 77,bodenrichtwerte-2019 60,trinkwasseranalyse-der-stadtwerke-münster 58
21.03.2021,1465,4031,,1276,,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm (785),standorte-der-give-boxen-und-öffentlichen-bücherregale (156),standorte-der-glascontainer 114,trinkwasseranalyse-der-stadtwerke-münster 74,öpnv-busradar-bus-live-positionsdaten 56
21.02.2021,1709,5206,,1477,,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 1209,standorte-der-glascontainer 118,standorte-der-give-boxen-und-öffentlichen-bücherregale (156),öpnv-busradar-bus-live-positionsdaten 58,fahrradverkehr-münster-aktion-stadtradeln-heatmap 58
21.01.2021,2923,9008,,2576,,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 2998,standorte-der-give-boxen-und-öffentlichen-bücherregale (167),standorte-der-glascontainer 85,coronavirus-infektionen-sars-cov-2-im-regierungsbezirk-münster 74,digitales-baumkataster-münster 67
20.12.2020,1833,5735,,2244,,,,,,
20.11.2020,1034,4273,,812,,,,,,
20.10.2020,858,4072,,,,,,,,
20.09.2020,1238,5625,,,,,,,,
20.08.2020,847,6449,,,,,,,,
20.07.2020,478,3570,,,,,,,,
20.06.2020,565,3749,,,,,,,,
20.05.2020,438,2263,,,,,,,,
20.04.2020,144,747,,,,,,,,
